,country_name,country_border_name
351,Luxembourg,Germany
352,Luxembourg,France
353,Latvia,Belarus
354,Latvia,Estonia
355,Latvia,Lithuania
357,Libya,Algeria
358,Libya,Chad
359,Libya,Egypt
360,Libya,Niger
361,Libya,Sudan
362,Libya,Tunisia
363,Morocco,Algeria
364,Morocco,Spain
366,Morocco,France
367,Moldova,Romania
368,Moldova,Ukraine
369,Montenegro,Albania
370,Montenegro,Bosnia and Herzegovina
371,Montenegro,Croatia
372,Montenegro,Serbia
374,Macedonia,Albania
375,Macedonia,Bulgaria
376,Macedonia,Greece
377,Macedonia,Serbia
378,Mali,Algeria
379,Mali,Burkina Faso
381,Mali,Guinea
382,Mali,Mauritania
383,Mali,Niger
384,Mali,Senegal
385,Myanmar,Bangladesh
386,Myanmar,China
387,Myanmar,India
388,Myanmar,Laos
389,Myanmar,Thailand
390,Mongolia,China
392,Malta,China
393,Mauritania,Algeria
394,Mauritania,Mali
395,Mauritania,Senegal
397,Malawi,Mozambique
398,Malawi,Tanzania
399,Malawi,Zambia
400,Mexico,Belize
401,Mexico,Guatemala
402,Mexico,United States
404,Malaysia,Indonesia
405,Malaysia,Thailand
406,Mozambique,Malawi
407,Mozambique,Swaziland
408,Mozambique,South Africa
409,Mozambique,Tanzania
410,Mozambique,Zambia
411,Mozambique,Zimbabwe
412,Namibia,Angola
413,Namibia,Botswana
414,Namibia,South Africa
415,Namibia,Zambia
416,Niger,Algeria
417,Niger,Benin
418,Niger,Burkina Faso
419,Niger,Chad
420,Niger,Libya
421,Niger,Mali
422,Niger,Nigeria
423,Nigeria,Benin
424,Nigeria,Cameroon
425,Nigeria,Chad
426,Nigeria,Niger
427,Nicaragua,Costa Rica
428,Nicaragua,Honduras
429,Netherlands,Belgium
430,Netherlands,Germany
431,Norway,Finland
433,Norway,Sweden
434,Nepal,China
435,Nepal,India
436,Oman,United Arab Emirates
437,Oman,Saudi Arabia
438,Oman,Yemen
439,Panama,Colombia
440,Panama,Costa Rica
442,Peru,Brazil
443,Peru,Chile
444,Peru,Colombia
445,Peru,Ecuador
447,Pakistan,Afghanistan
448,Pakistan,China
449,Pakistan,India
450,Pakistan,Iran
451,Poland,Belarus
452,Poland,Czech Republic
453,Poland,Germany
454,Poland,Lithuania
456,Poland,Slovakia
457,Poland,Ukraine
458,Palestine,Egypt
459,Palestine,Israel
460,Palestine,Jordan
461,Portugal,Spain
462,Paraguay,Argentina
464,Paraguay,Brazil
465,Qatar,Saudi Arabia
466,Romania,Bulgaria
467,Romania,Hungary
468,Romania,Moldova
469,Romania,Serbia
470,Romania,Ukraine
471,Serbia,Albania
