,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
485,Turkmenistan,Iran,4.686,4.813,4.69199991226196
486,Turkmenistan,Kazakhstan,5.855,5.919,5.8189997673034695
487,Turkmenistan,Uzbekistan,6.002999999999999,5.987,5.97100019454956
488,Tunisia,Algeria,5.605,6.355,5.8720002174377415
489,Tunisia,Libya,5.754,5.615,5.525000095367429
490,Turkey,Armenia,4.35,4.36,4.37599992752075
491,Turkey,Azerbaijan,5.2120000000000015,5.291,5.2340002059936515
492,Turkey,Bulgaria,4.218,4.217,4.71400022506714
493,Turkey,Georgia,4.297,4.252,4.28599977493286
494,Turkey,Greece,4.857,5.033,5.227000236511231
495,Turkey,Iran,4.686,4.813,4.69199991226196
496,Turkey,Iraq,4.677,4.575,4.49700021743774
497,Turkey,Dominican Republic,4.885,5.155,5.230000019073491
498,Tanzania,Burundi,2.905,2.905,2.90499997138977
499,Tanzania,Togo,2.839,3.303,3.4949998855590803
500,Tanzania,Kenya,4.419,4.356,4.55299997329712
501,Tanzania,Malawi,4.292,4.1560000000000015,3.97000002861023
502,Tanzania,Mozambique,4.971,,4.5500001907348615
503,Tanzania,Rwanda,3.465,3.515,3.47099995613098
504,Tanzania,Uganda,3.931,3.739,4.08099985122681
505,Tanzania,Zambia,5.129,4.795,4.513999938964839
506,Ukraine,Belarus,5.813,5.8020000000000005,5.5689997673034695
507,Ukraine,Hungary,4.8,5.145,5.32399988174438
508,Ukraine,Moldova,5.8889999999999985,5.897,5.837999820709231
509,Ukraine,Poland,5.791,5.835,5.97300004959106
510,Ukraine,Romania,5.124,5.528,5.824999809265139
511,Ukraine,Slovakia,5.995,6.0779999999999985,6.09800004959106
512,Uganda,Togo,2.839,3.303,3.4949998855590803
513,Uganda,Kenya,4.419,4.356,4.55299997329712
514,Uganda,Rwanda,3.465,3.515,3.47099995613098
515,Uganda,South Sudan,,3.832,3.5910000801086404
